Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21
t_009,"Hemigastrodrilus monicae ""typique"" Bouché, 1970","Hemigastrodrilus monicae monicae Bouché, 1972","Hemigastrodrilus monicae monicae (Bouche, 1970)","Hemigastrodrilus monicae monicae Bouché, 1970",Hemigastrodrilus monicae monicae,Hormogastridae,Hemigastrodrilus,monicae,monicae,"Hemigastrodrilus monicae monicae Bouché, 1970",Hemonimoni,"Name from Misirlioglu et al., 2023, and the associated data paper Brown et al., 2023.",Hemigastrodrilus monicae monicae,Hormogastridae,Hemigastrodrilus,monicae,monicae,Hemonimoni,"No confusion, same name as in ""name_this_work"".",This work: 1961-1970 and 2019-2023 data.
t_010,"Vignysa popi Bouché, 1972","Vignysa popi popi Bouché, 1972","Vignysa teres (Duges, 1828)","Vignysa teres (Dugès, 1828)",Vignysa teres,Hormogastridae,Vignysa,teres,NA,"Vignysa teres (Dugès, 1828)",Vitere,"Name from Misirlioglu et al., 2023, and the associated data paper Brown et al., 2023.",Vignysa teres,Hormogastridae,Vignysa,teres,NA,Vitere,"No confusion, same name as in ""name_this_work"".",This work: 1961-1970 and 2019-2023 data.
t_011,"Eiseniella tetraedra ""typique"" (Savigny, 1826)","Eiseniella tetraedra tetraedra (Savigny, 1826)","Eiseniella tetraedra (Savigny, 1826)","Eiseniella tetraedra tetraedra (Savigny, 1826)",Eiseniella tetraedra,Lumbricidae,Eiseniella,tetraedra,NA,"Eiseniella tetraedra (Savigny, 1826)",Eitetr,"Name from Misirlioglu et al., 2023, and the associated data paper Brown et al., 2023. We did not put the nominal subspecies because de Sosa et al., 2017 showed Eiseniella tetraedra subspecies based on position of male pore are not backed with molecular analysis, i.e. Eiseniella tetraedra hercynia is invalid.",Eiseniella tetraedra,Lumbricidae,Eiseniella,tetraedra,NA,Eitetr,"No confusion, same name as in ""name_this_work"".",This work: 1961-1970 and 2019-2023 data.
t_012,"Orodrilus doderoi (Cognetti, 1904)","Orodrilus doderoi doderoi (Cognetti, 1904)","Orodrilus doderoi (Cognetti de Martiis, 1904)","Orodrilus doderoi (Cognetti, 1904)",Orodrilus doderoi,Lumbricidae,Orodrilus,doderoi,NA,"Orodrilus doderoi (Cognetti, 1904)",Ordode,"Name from Misirlioglu et al., 2023, and the associated data paper Brown et al., 2023.",Orodrilus doderoi,Lumbricidae,Orodrilus,doderoi,NA,Ordode,"No confusion, same name as in ""name_this_work"".",This work: 1961-1970 data.
t_013,NA,Helodrilus phillipei Qiu & Bouché 1998,"Helodrilus oculatus (Hoffmeister, 1845)","Helodrilus phillipei Qiu & Bouché, 1998",Helodrilus phillipei,Lumbricidae,Helodrilus,phillipei,NA,"Helodrilus phillipei Qiu & Bouché, 1998",Hephil,"Name from Misirlioglu et al., 2023, and the associated data paper Brown et al., 2023.",NA,NA,NA,NA,NA,NA,NA,"Qiu & Bouché, 1998b."
t_014,"Ethnodrilus zajonci Bouché, 1972","Ethnodrilus zajonci Bouché, 1972","Ethnodrilus zajonci (Bouche, 1972)","Ethnodrilus zajonci Bouché, 1972",Ethnodrilus zajonci,Lumbricidae,Ethnodrilus,zajonci,NA,"Ethnodrilus zajonci Bouché, 1972",Etzajo,"Name from Misirlioglu et al., 2023, and the associated data paper Brown et al., 2023.",Ethnodrilus zajonci,Lumbricidae,Ethnodrilus,zajonci,NA,Etzajo,"No confusion, same name as in ""name_this_work"".",This work: 1961-1970 data.
t_015,"Ethnodrilus gatesi Bouché, 1972","Ethnodrilus gatesi Bouché, 1972","Ethnodrilus gatesi (Bouche, 1972)","Ethnodrilus gatesi Bouché, 1972",Ethnodrilus gatesi,Lumbricidae,Ethnodrilus,gatesi,NA,"Ethnodrilus gatesi Bouché, 1972",Etgate,"Name from Misirlioglu et al., 2023, and the associated data paper Brown et al., 2023.",Ethnodrilus gatesi,Lumbricidae,Ethnodrilus,gatesi,NA,Etgate,"No confusion, same name as in ""name_this_work"".",This work: 1961-1970 and 2019-2023 data.
t_016,"Ethnodrilus aveli Bouché, 1972","Ethnodrilus aveli Bouché, 1972","Ethnodrilus aveli (Bouche, 1972)","Ethnodrilus aveli Bouché, 1972",Ethnodrilus aveli,Lumbricidae,Ethnodrilus,aveli,NA,"Ethnodrilus aveli Bouché, 1972",Etavel,"Name from Misirlioglu et al., 2023, and the associated data paper Brown et al., 2023.",Ethnodrilus aveli,Lumbricidae,Ethnodrilus,aveli,NA,Etavel,"No confusion, same name as in ""name_this_work"".",This work: 1961-1970 and 2019-2023 data.
t_017,"Ethnodrilus lydiae Bouché, 1972","Ethnodrilus lydiae Bouché, 1972","Ethnodrilus lydiae (Bouche, 1972)","Ethnodrilus lydiae Bouché, 1972",Ethnodrilus lydiae,Lumbricidae,Ethnodrilus,lydiae,NA,"Ethnodrilus lydiae Bouché, 1972",Etlydi,"Name from Misirlioglu et al., 2023, and the associated data paper Brown et al., 2023.",Ethnodrilus lydiae,Lumbricidae,Ethnodrilus,lydiae,NA,Etlydi,"No confusion, same name as in ""name_this_work"".",This work: 1961-1970 and 2019-2023 data.
t_018,"Prosellodrilus idealis Bouché, 1972","Prosellodrilus (Prosellodrilus) idealis Bouché, 1972","Prosellodrilus idealis (Bouche, 1972)","Prosellodrilus idealis Bouché, 1972",Prosellodrilus idealis,Lumbricidae,Prosellodrilus,idealis,NA,"Prosellodrilus idealis Bouché, 1972",Pridea,"Name from Misirlioglu et al., 2023, and the associated data paper Brown et al., 2023.",Prosellodrilus idealis,Lumbricidae,Prosellodrilus,idealis,NA,Pridea,"No confusion, same name as in ""name_this_work"".",This work: 1961-1970 and 2019-2023 data.
